Nombre d'enregistrements,Position,Aerialswon,Age,Apps,Assists,Club,Goals,Image,Mins,Motm,Perfattack,Perfdef,Perfposs,player (Sheet1 players!score),player (Sheet1 players!stats),Player,Points,Ps,rank (Sheet1 players!stats),Rank,Rating,Red,Spg,Team,Total,Yel
1,Forward,4.1,23,18(2),1,Fulham,12,//img.fifa.com/images/flags/4/srb.png,1653,6,51,5,-1,Aleksandar Mitrovic,Aleksandar Mitrovic,Aleksandar Mitrovic,732,77.1,263,4,7.52,,4.1,Serbia,55,3
1,Defender,,,,,,,//img.fifa.com/images/flags/4/fra.png,,,28,17,6,,Benjamin Mendy,Benjamin Mendy,1166,,266,,,,,France,52,
1,Forward,1.3,24,4,,Borussia Dortmund,2,//img.fifa.com/images/flags/4/bel.png,331,,112,10,-72,Michy Batshuayi,Michy Batshuayi,Michy Batshuayi,1346,73.8,267,249,6.93,,2.8,Belgium,50,1
1,Goalkeeper,0.2,30,19,,Liverpool,,//img.fifa.com/images/flags/4/bel.png,1710,,3,-89,114,Simon Mignolet,Simon Mignolet,Simon Mignolet,1346,69.5,298,261,6.49,,,Belgium,29,3
1,Defender,,,,,,,//img.fifa.com/images/flags/4/pol.png,,,36,8,-21,,Jan Bednarek,Jan Bednarek,1128,,312,,,,,Poland,23,
1,Defender,,,,,,,//img.fifa.com/images/flags/4/arg.png,,,45,-58,33,,Marcos Rojo,Marcos Rojo,1254,,318,,,,,Argentina,19,
1,Goalkeeper,,,,,,,//img.fifa.com/images/flags/4/arg.png,,,0,11,4,,Willy Caballero,Willy Caballero,1254,,326,,,,,Argentina,15,
1,Midfielder,3.5,21,33,3,Leicester,,//img.fifa.com/images/flags/4/nga.png,2899,2,278,-26,-240,Wilfred Ndidi,Wilfred Ndidi,Wilfred Ndidi,635,76.1,328,32,7.14,2,1.2,Nigeria,12,6
1,Forward,0.3,21,7(14),3,Leicester,3,//img.fifa.com/images/flags/4/nga.png,827,,159,-91,-59,Kelechi Iheanacho,Kelechi Iheanacho,Kelechi Iheanacho,635,79.3,335,263,6.48,,1.4,Nigeria,9,2
1,Midfielder,,,,,,,//img.fifa.com/images/flags/4/srb.png,,,0,7,-3,,Marko Grujic,Marko Grujic,732,,347,,,,,Serbia,4,
1,Midfielder,,,,,,,//img.fifa.com/images/flags/4/bel.png,,,46,-29,-13,,Nacer Chadli,Nacer Chadli,1346,,349,,,,,Belgium,4,
1,Midfielder,3.7,28,32(1),3,West Ham,2,//img.fifa.com/images/flags/4/sen.png,2803,2,150,55,-160,Cheikhou Kouyate,Cheikhou Kouyate,Cheikhou Kouyate,825,76,371,136,6.8,,0.7,Senegal,-2,5
1,Defender,,,,,,,//img.fifa.com/images/flags/4/eng.png,,,9,4,-33,,Danny Rose,Danny Rose,1040,,404,,,,,United Kingdom,-21,
1,Midfielder,0.5,26,16(12),2,Watford,1,//img.fifa.com/images/flags/4/per.png,1537,1,225,-22,-234,Andre Carrillo,Andre Carrillo,Andre Carrillo,1106,76.6,422,214,6.62,,0.9,Peru,-31,2
1,Defender,1,26,32,3,Southampton,,//img.fifa.com/images/flags/4/por.png,2797,,79,70,-189,Cedric Soares,Cedric Soares,Cedric Soares,1306,73.3,434,233,6.57,,0.7,Portugal,-40,3
1,Forward,0.4,31,17(13),4,Leganes,2,//img.fifa.com/images/flags/4/mar.png,1624,,-3,-6,-34,Nordin Amrabat,Nordin Amrabat,Nordin Amrabat,681,69.3,437,278,6.36,1,1.2,Morocco,-44,5
1,Midfielder,,,,,,,//img.fifa.com/images/flags/4/por.png,,,41,-66,-23,,Adrien Silva,Adrien Silva,1306,,442,,,,,Portugal,-49,
1,Forward,,,,,,,//img.fifa.com/images/flags/4/sen.png,,,46,-15,-97,,Diafra Sakho,Diafra Sakho,825,,458,,,,,Senegal,-66,
1,Goalkeeper,0.2,25,35,,Stoke,,//img.fifa.com/images/flags/4/eng.png,3150,2,-34,124,-158,Jack Butland,Jack Butland,Jack Butland,1040,46.1,460,158,6.76,,,United Kingdom,-68,
1,Goalkeeper,0.4,31,33,,Leicester,,//img.fifa.com/images/flags/4/den.png,2966,3,-23,57,-108,Kasper Schmeichel,Kasper Schmeichel,Kasper Schmeichel,1054,49.6,463,220,6.61,,,Denmark,-74,3
1,Goalkeeper,0.3,26,38,,Brighton,,//img.fifa.com/images/flags/4/aus.png,3420,1,0,65,-147,Mat Ryan,Mat Ryan,Mat Ryan,700,48,470,177,6.74,,,Australia,-83,
1,Goalkeeper,0.5,24,38,,Everton,,//img.fifa.com/images/flags/4/eng.png,3420,,-2,17,-109,Jordan Pickford,Jordan Pickford,Jordan Pickford,1040,44.5,477,210,6.63,,,United Kingdom,-94,
1,Goalkeeper,0.4,29,38,1,Huddersfield,,//img.fifa.com/images/flags/4/den.png,3420,1,-6,-152,1,Jonas Lossl,Jonas Lossl,Jonas Lossl,1054,56.4,490,238,6.57,,,Denmark,-157,1
1,Defender,1.3,30,36,1,Swansea,,//img.fifa.com/images/flags/4/swe.png,3154,,46,-97,-275,Martin Olsson,Martin Olsson,Martin Olsson,889,73.5,500,281,6.32,,0.5,Sweden,-343,7
1,Forward,0.2,26,20,13,Paris Saint Germain,19,//img.fifa.com/images/flags/4/bra.png,1788,12,1541,-21,149,Neymar,Neymar,Neymar,1384,79.6,1,1,8.95,1,4.5,Brazil,1669,4
1,Forward,0.3,31,30(2),6,Paris Saint Germain,28,//img.fifa.com/images/flags/4/uru.png,2589,2,1136,1,69,Edinson Cavani,Edinson Cavani,Edinson Cavani,976,80.2,2,4,7.69,,3.3,Uruguay,1206,3
1,Midfielder,0.6,25,9(3),2,Marseille,3,//img.fifa.com/images/flags/4/fra.png,761,,1333,-22,-230,Florian Thauvin,Florian Thauvin,Florian Thauvin,1166,74.7,3,183,7.01,,1.7,France,1080,2
1,Forward,0.3,24,8,1,Lyon,3,//img.fifa.com/images/flags/4/fra.png,660,3,1092,-49,-50,Nabil Fekir,Nabil Fekir,Nabil Fekir,1166,85.9,5,8,7.73,,2.5,France,993,2
1,Midfielder,,30,26(4),6,Paris Saint Germain,11,//img.fifa.com/images/flags/4/arg.png,2122,3,883,-99,118,Angel Di Maria,Angel Di Maria,Angel Di Maria,1254,79.4,6,13,7.37,,3.2,Argentina,902,1
1,Defender,1.9,33,24(1),,Paris Saint Germain,1,//img.fifa.com/images/flags/4/bra.png,2117,,63,316,494,Thiago Silva,Thiago Silva,Thiago Silva,1384,96.1,7,55,7.08,,0.4,Brazil,873,5
1,Goalkeeper,0.2,25,34,,Paris Saint Germain,,//img.fifa.com/images/flags/4/fra.png,3060,2,0,497,325,Alphonse Areola,Alphonse Areola,Alphonse Areola,1166,91.1,9,106,6.88,,,France,821,
1,Defender,3.9,31,10,,Lyon,1,//img.fifa.com/images/flags/4/bra.png,900,,167,310,334,Marcelo,Marcelo,Marcelo,1384,85,10,110,7.19,,0.2,Brazil,811,2
1,Forward,0.3,19,24(3),8,Paris Saint Germain,13,//img.fifa.com/images/flags/4/fra.png,2097,7,819,18,-40,Kylian Mbappe,Kylian Mbappe,Kylian Mbappe,1166,83.1,11,5,7.54,,2.9,France,797,2
1,Midfielder,0.3,24,19(11),5,Paris Saint Germain,4,//img.fifa.com/images/flags/4/ger.png,1706,,422,15,259,Julian Draxler,Julian Draxler,Julian Draxler,1544,92.8,19,61,7.04,,0.8,Germany,696,1
1,Defender,0.4,28,3(2),1,America MG,1,//img.fifa.com/images/flags/4/bra.png,256,,78,246,361,Marquinhos,Marquinhos,Marquinhos,1384,71.2,21,126,6.88,,1.2,Brazil,685,
1,Defender,1.1,22,27(1),,Paris Saint Germain,,//img.fifa.com/images/flags/4/fra.png,2425,,87,220,331,Presnel Kimpembe,Presnel Kimpembe,Presnel Kimpembe,1166,95.3,24,120,6.84,2,0.4,France,638,6
